IDSong,F0010,F0011,F0013,F0021,F0109,F0110,F0113,F0116,F0121,F0133,F0136,F0151,F0155,F0246,F0247,F0251,F0328,F0404,F0406,F0407,F0437,F0438,F0466,F0469,F0507,F0525,F0526,F0529,F0753,F0770,F0772,F0776,F0778,F0782,F0891,F0897,F0899,F0905,F0909,F0911,F0917,F0923,F0927,F0945,F0946,F0958,F1053,F1059,F1065,F1071,F1077,F1089,F1090,F1096,F1101,F1151,F1152,F1166,F1194,F1419,F1441,F1455,F1469,F1475,F1483,F1486,F1489,F1497,F1537,F1550,F1574,ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Extent (Std),ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Length (Std),ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Slope (Std),ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Direction (Up),ORIGINAL-TEXTURE-Musical Layers (Mean),ORIGINAL-TEXTURE-Musical Layers (Max),ORIGINAL-TEXTURE-Musical Layers (Std),ORIGINAL-TEXTURE-ML1-Monophonic Texture (Percentage),ORIGINAL-TEXTURE-State Transitions ML1 -> ML0 (Per Sec),ORIGINAL-TEXTURE-State Transitions ML1 -> ML2 (Per Sec),ORIGINAL-TEXTURE-State Transitions ML2 -> ML3 (Per Sec),ORIGINAL-EXPRESSIVE_TECHNIQUES-ART-Other Notes Duration (Mean),ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Notes in Cents (Mean),ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Notes in Cents (Max),ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Notes in Cents (Min),ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Higher Notes Coverage (C4+),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Rate (Std),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Rate (Kurtosis),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Extent (Std),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Extent (Kurtosis),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Length (Kurtosis),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Length (Skewness),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Base Freq (Min),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Base Freq (Std),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Base Freq (Kurtosis),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Higher Notes Coverage (C4+),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato to Non Vibrato Notes Ratio,ORIGINAL-VAT-Probability of Creaky Voice (Skewness),VOICE-TEXTURE-State Transitions ML0 -> ML1 (Per Sec),Quadrant,Energy,Valence,Accouticness,Instrumentalness,Key,Speechiness,Loudness,Liveness,Mode,Tempo,Time_signature,Danceability
MT0000004637,258.55,4.1456,2879.1,1.4046,0.13074,0.45841,0.18587,1.8191,372.16,0.46626,3.1386,0.049422,0.63757,0.36769,0.080221,0.17629,0.70133,0.085051,5.4915,1.2319,5.7197,0.77348,0.048619,0.27903,0.16951,4.6433,1.3886,8.2928,0.19374,0.31584,0.056104,0.4591,0.050642,0.57884,0.44898,0.38941,0.47764,0.32337,0.36906,0.41404,0.40083,0.2881,0.40212,0.36748,0.20462,0.19168,3.9156,4.0265,4.1335,4.5599,4.9963,5.8911,2.5945,2.8854,5.8488,12.783,9.2878,700750,3.2098,0.16746,0.68148,0.21796,-0.73575,0.063452,2.0543,0.89373,0.13532,1.6417,0.0046555,0.19755,0.42304,107.69,0.074137,1044.4,0.85714,0.92722,4,0.74902,0.53436,2.2281,1.164,0.26605,0.26256,5904.5,6473.5,5269.1,0.62015,1.3199,1.2087,13.1,1.6419,2.1493,0.90069,4114.7,288.5,2.1851,0.37919,0.21622,0.52265,1.5637,Q3,0.395,0.854,0.963,1.42E-05,5,0.041,-12.143,0.0545,1,167.28,4,0.649
MT0000011975,89.122,4.2906,1259.6,3.8793,0.0825,-0.2434,0.27766,0.073246,453.09,0.33701,2.247,0.037649,0.72798,0.44022,0.041539,0.32756,0.44737,0.10638,2.0722,0.78292,4.7302,0.4822,0.04962,0.21649,0.16411,2.1486,0.9132,5.3301,0.18374,0.39894,0.037498,0.54431,0.038499,0.68354,0.59445,0.59557,-0.27754,-0.2206,0.56573,-0.18585,-0.1753,-0.095701,0.5251,0.52745,0.1308,0.11863,2.9627,3.1774,3.6172,3.7874,3.7767,4.3406,1.6766,1.6937,4.7568,36.554,40.437,1277900,3.372,0.1385,-1.5438,-1.2723,-2.7535,0.16814,1.8916,1.0195,0.080794,-0.5837,0.014626,0.15356,-1.1432,0,0,0,0,1.0521,3,0.72762,0.55772,0.43233,1.297,0.39907,0.20152,6817.1,7608.7,5709.9,0.46877,0,0,0,0,0,0,0,0,0,0,0,-0.77295,1.098,Q2,0.99,-0.718,0.000195,0.654,6,0.269,-2.375,0.263,1,152.62,4,0.659
MT0000040632,138.27,5.2102,1926.7,3.779,0.11276,0.32608,0.1143,0.95019,689.66,0.65021,3.9683,0.060652,0.63122,0.45213,0.034824,0.31566,0.65352,0.085314,2.9488,1.0854,5.1757,0.65561,0.064788,0.22671,0.075348,4.6632,1.1656,7.9619,0.13607,0.33494,0.057051,0.47279,0.052468,0.64734,0.54761,0.53123,-0.10105,-0.10119,0.45324,-0.020079,0.12965,0.03194,0.38871,0.39224,0.18895,0.1736,3.6446,4.1412,4.2192,4.6687,4.9557,5.7171,2.6223,3.0242,6.1356,27.271,25.739,600090,7.2296,0.18761,-0.59259,-0.18092,-1.928,0.087247,1.5485,2.0184,0.25845,0.9665,0.0052579,0.26005,-0.8465,50.788,0.038622,937.15,0.5,2.6838,6,1.1579,0.14015,0.2993,1.3302,2.7602,0.44664,4703.1,5913.3,3114,0.18579,0.83269,1,14.471,1,1,0,5112.1,65.829,1,1,0.045455,-1.5677,1.5305,Q1,0.678,-0.21,0.754,0.821,1,0.0427,-7.764,0.141,0,100.016,4,0.618
MT0000044741,146.23,3.6752,1677.5,1.7725,0.092768,0.073919,0.20381,1.5208,472.8,0.38171,2.4845,0.042909,0.6554,0.3518,0.084186,0.20337,0.77563,0.10498,3.4329,0.84519,5.3523,0.6001,0.059672,0.25899,0.18646,3.5518,1.0076,7.1379,0.19453,0.31424,0.057666,0.47189,0.043133,0.66908,0.49344,0.45172,-0.039488,0.051116,0.36633,0.37235,0.45378,0.46226,0.37901,0.39926,0.18128,0.15517,3.7445,4.1356,4.793,4.9054,4.7665,5.8095,2.5436,2.7785,5.7044,25.174,24.134,1186400,3.3445,0.15337,0.38978,-0.52518,-0.66479,0.096529,1.906,1.5626,0.15471,1.5166,0.0023601,0.26254,-0.36764,227.07,0.09964,1162.1,0.14286,1.8191,5,0.89834,0.3639,0.76489,1.9954,1.297,0.46367,4951,5664.4,4126.1,0.33045,0.94817,1.4386,10.487,1.4059,1.8644,0.47151,4672.5,263.23,1.4909,0.33462,0.2,-0.36956,0.86505,Q3,0.443,-0.1,0.358,0,6,0.0862,-10.422,0.232,0,69.028,4,0.457
MT0000054705,184.27,5.3625,2500.4,2.1069,0.099637,1.4919,0.042178,1.8408,550.28,1.0196,6.4993,0.075434,0.50053,0.3623,0.053674,0.22776,0.67928,0.069544,3.7322,1.4541,6.0558,0.9003,0.094211,0.44572,0.059273,6.6627,1.6023,11.065,0.13004,0.27853,0.079109,0.34516,0.079443,0.50648,0.46053,0.43663,0.15611,0.042052,0.40326,0.028386,0.10221,0.1586,0.37382,0.46313,0.1755,0.11827,3.9207,4.0764,4.3382,5.3432,5.2094,5.2434,2.8201,3.4122,4.5339,4.1927,3.631,120850,9.0934,0.17726,0.30364,0.60191,-0.22502,0.066212,1.1469,2.6808,0.37197,3.1306,0.002005,0.29207,-0.56055,46.722,0.042933,497.41,0.6,2.6127,6,1.1185,0.14189,0.33256,1.9954,3.4254,0.22567,3971.5,4799,3352.1,0,0.60544,1.9163,8.6786,2.0562,1.6717,0.52215,5508.1,736.38,1.7213,1,0.10448,0.051048,1.6303,Q4,0.105,-0.32,0.956,0.0631,5,0.0408,-20.705,0.128,1,122.183,4,0.54
MT0000082187,127.31,2.884,1234.4,2.6754,0.10229,0.13091,0.21066,0.81497,764.5,0.45454,2.6096,0.041657,0.69924,0.42707,0.041933,0.29287,0.90359,0.15547,2.8367,0.8426,4.6791,0.52896,0.065124,0.28753,0.26156,3.3087,0.96133,6.4754,0.18516,0.32851,0.048268,0.50729,0.043041,0.72524,0.46112,0.49183,-0.079799,-0.093319,0.44697,0.060537,0.13838,0.37976,0.38024,0.36799,0.16714,0.18116,3.5236,3.734,4.1824,4.7534,5.1846,5.715,2.2349,2.6794,8.0902,28.003,27.277,1790000,2.7019,0.18912,-0.88717,-0.66194,-1.6146,0.10464,1.5113,1.0058,0.11368,0.61977,0.012167,0.18846,-1.2458,77.424,0.10126,564.52,0.30769,2.3647,5,1.1188,0.19865,0.53209,1.5298,1.5963,0.37574,5022,5612.1,4381.8,0.36531,1.0094,1.5,3.6059,1.5,1.5,-0.66547,4707.8,304.94,1.5,0.71875,0.056604,-0.5528,1.3974,Q1,0.558,0.892,0.633,1.19E-06,6,0.0332,-6.857,0.181,1,131.086,4,0.536
MT0000088320,91.975,1.8042,924.34,2.6754,0.093548,0.43037,0.25469,1.7165,593.64,0.40413,2.5145,0.036858,0.72725,0.46726,0.021219,0.37433,0.59722,0.1299,2.1505,0.88445,4.5204,0.69956,0.072316,0.33055,0.21458,3.6425,1.1085,7.066,0.18039,0.37888,0.045009,0.52636,0.039283,0.66988,0.58519,0.55494,-0.12831,-0.20709,0.50272,-0.030773,0.051511,-0.11732,0.49047,0.52477,0.1344,0.13209,3.1599,3.1775,3.4019,3.8109,3.7629,4.1095,1.3366,1.4721,4.9357,30.36,31.266,1381600,3.3293,0.16594,-1.3614,-0.52023,-2.4321,0.11954,1.8055,0.98384,0.091591,0.61395,0.011397,0.2035,-1.5276,0,0,0,1,1.7166,6,0.96231,0.34189,0.39907,1.6961,1.3967,0.33524,5000,6583.5,4111.4,0.29844,0.47582,1,6.5244,1,1,0,4710.4,428.78,1,0.4058,0.060606,-0.80544,0.63215,Q3,0.934,-0.308,0.196,2.90E-05,0,0.0892,-5.651,0.492,1,99.181,4,0.45
MT0000092267,275.53,3.8016,3238.5,2.2406,0.20238,-0.29958,0.031317,1.8321,1226.8,1.0373,7.1571,0.11686,0.35946,0.40622,0.060461,0.2024,0.71658,0.33283,5.9002,1.5659,6.3155,0.75368,0.061969,0.39261,0.38907,2.4379,1.7713,7.7859,0.18209,0.29739,0.07713,0.43912,0.074517,0.6186,0.47102,0.43215,0.14664,0.13999,0.43015,0.1459,0.3847,0.4001,0.41234,0.37228,0.20227,0.18949,3.454,4.0254,4.6144,4.4253,4.6873,5.8071,2.7061,2.7702,6.649,25.07,25.538,1437200,3.3905,0.37299,-0.37083,-0.60781,-0.013616,0.092272,2.6582,3.1429,0.25661,1.4813,0.0028368,0.27877,-0.33556,98.62,0.06715,1630.8,0.53333,1.1855,5,0.84417,0.49305,1.3302,2.1284,0.53209,0.36997,6136.6,6906.2,5140.7,0.57317,0.63505,1.8343,20.14,1.905,1.605,-0.46733,5028.3,294.61,2.2194,0.57993,0.097561,-0.42468,1.8965,Q4,0.521,0.552,0.0081,1.06E-05,7,0.32,-9.296,0.272,1,203.918,4,0.718
MT0000133200,67.985,0.86567,495.79,3.2774,0.080338,-0.094836,0.23484,0.71157,536.01,0.30004,2.1902,0.03955,0.61753,0.45504,0.02263,0.36784,0.55036,0.10191,2.0544,0.67261,4.9144,0.55794,0.072156,0.19449,0.21467,1.7812,0.89233,4.3951,0.20076,0.43126,0.035931,0.57578,0.038538,0.71271,0.60533,0.58713,-0.22532,-0.23393,0.53591,-0.20103,-0.099403,-0.18129,0.50983,0.54527,0.12103,0.1137,3.1176,3.4389,3.7121,3.849,3.7541,4.0097,1.336,1.2573,4.587,35.502,36.371,1613000,2.9386,0.15998,-1.8817,-1.8744,-1.8681,0.13003,1.3202,1.042,0.074575,-0.62181,0.0041194,0.25226,-1.2142,436.99,0.098514,1930.3,0,1.3137,4,0.92081,0.37375,0.46558,1.5298,0.89791,0.37587,5674.5,6999.5,4371.4,0.3128,0.16823,1.5,5.8261,1.5,1.5,0.61842,4999.5,289.71,1.5,0.52802,0.12,-1.7648,1.0647,Q2,0.929,-0.216,4.46E-06,0.876,4,0.0423,-4.603,0.369,1,82.094,5,0.201
MT0000202045,266.14,7.7822,3983.4,3.3108,0.15904,0.19856,0.084788,1.4308,1204.4,0.84623,4.7303,0.07746,0.537,0.4258,0.038983,0.25872,0.70076,0.25767,3.9944,1.1748,5.4361,0.83581,0.067918,0.29043,0.21773,3.9276,1.4012,7.7524,0.17668,0.31788,0.052172,0.47699,0.059101,0.62509,0.52565,0.50026,-0.03768,-0.035682,0.47735,-0.012761,-0.084756,0.00020039,0.464,0.40179,0.17208,0.17391,3.3075,3.5043,3.8833,4.0692,4.1475,5.4984,2.4407,2.6591,6.0604,23.743,21.621,1246500,4.488,0.31958,-0.29045,-0.17819,-0.83603,0.10135,1.7802,1.5022,0.1718,1.3078,0.0047275,0.26424,-0.83692,328.8,0.055396,2578.8,0.66667,1.6568,5,0.87682,0.34131,1.1307,2.6937,1.8291,0.27035,5212.8,6019.1,3987.1,0.36436,1.1201,1.5,16.815,1.5,1.5,0.57516,4497.4,259.11,1.5,0.72358,0.078947,-0.48557,1.7634,Q4,0.75,0.922,0.0311,0.0049,7,0.048,-8.6,0.163,1,132.844,4,0.869
