NoFeats;Spotify;Ours;Combined
1;0.442;0.322;0.314
2;0.478;0.478;0.432
3;0.53;0.55;0.542
4;0.566;0.556;0.59
5;0.562;0.573;0.596
6;0.576;0.629;0.609
7;0.575;0.626;0.634
8;0.578;0.63;0.636
9;0.575;0.632;0.643
10;0.561;0.642;0.653
11;0.585;;
12;0.571;;
20;;0.689;0.689
30;;0.714;0.702
40;;0.718;0.707
50;;0.719;0.718
60;;0.724;0.721
70;;0.73;0.732
80;;0.732;0.734
90;;0.743;0.734
95;;;0.738
100;;0.747;0.742
105;;;0.742
106;;;0.742
107;;;0.74
108;;;0.741
109;;;0.738
110;;;0.741
111;;;0.727
112;;;0.733
