Weight,Number,Name
0.081674,97,ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Higher Notes Coverage (C4+)
0.078768,104,Accousticness
0.070398,103,Valence
0.068479,102,Energy
0.068275,110,Mode
0.067597,75,ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Direction (Up)
0.057313,79,ORIGINAL-TEXTURE-ML1-Monophonic Texture (Percentage)
0.055945,94,ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Base Freq (Min)
0.053261,82,ORIGINAL-TEXTURE-State Transitions ML2 -> ML3 (Per Sec)
0.052477,69,F1537
0.050504,81,ORIGINAL-TEXTURE-State Transitions ML1 -> ML2 (Per Sec)
0.047375,87,ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Higher Notes Coverage (C4+)
0.045858,90,ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Extent (Std)
0.043847,74,ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Slope (Std)
0.042504,88,ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Rate (Std)
0.042429,98,ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato to Non Vibrato Notes Ratio
0.041624,77,ORIGINAL-TEXTURE-Musical Layers (Max)
0.041621,76,ORIGINAL-TEXTURE-Musical Layers (Mean)
0.038,4,F0021
0.036602,56,F1151
0.036002,3,F0013
0.035966,7,F0113
0.035966,39,F0909
0.03497,96,ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Base Freq (Kurtosis)
0.034933,100,VOICE-TEXTURE-State Transitions ML0 -> ML1 (Per Sec)
0.034926,72,ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Extent (Std)
0.034919,25,F0507
0.034388,26,F0525
0.034304,17,F0328
0.034046,57,F1152
0.033935,2,F0011
0.03344,89,ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Rate (Kurtosis)
0.032607,58,F1166
0.031335,54,F1096
0.031311,16,F0251
0.031296,92,ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Length (Kurtosis)
0.031239,61,F1441
0.030711,19,F0406
0.030631,91,ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Extent (Kurtosis)
0.030248,71,F1574
0.029678,95,ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Base Freq (Std)
0.029554,15,F0247
0.029546,93,ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Length (Skewness)
0.029496,45,F0946
0.029218,66,F1486
0.028318,53,F1090
0.028181,30,F0770
0.028033,28,F0529
0.027983,20,F0407
0.027857,78,ORIGINAL-TEXTURE-Musical Layers (Std)
0.027817,36,F0897
0.026762,105,Instrumentalness
0.025373,32,F0776
0.025371,80,ORIGINAL-TEXTURE-State Transitions ML1 -> ML0 (Per Sec)
0.025167,48,F1059
0.025063,18,F0404
0.02479,43,F0927
0.024475,1,F0010
0.024395,67,F1489
0.024393,14,F0246
0.024294,44,F0945
0.024069,73,ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Length (Std)
0.023837,83,ORIGINAL-EXPRESSIVE_TECHNIQUES-ART-Other Notes Duration (Mean)
0.023768,40,F0911
0.023708,35,F0891
0.023426,47,F1053
0.023025,50,F1071
0.022836,23,F0466
0.022598,9,F0121
0.022545,13,F0155
0.022528,62,F1455
0.022345,5,F0109
0.02229,52,F1089
0.022165,107,Speechiness
0.022102,64,F1475
0.021904,38,F0905
0.021875,8,F0116
0.021589,49,F1065
0.02135,12,F0151
0.021163,68,F1497
0.020727,34,F0782
0.020706,84,ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Notes in Cents (Mean)
0.020272,10,F0133
0.02019,85,ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Notes in Cents (Max)
0.020042,51,F1077
0.019534,29,F0753
0.019397,70,F1550
0.019002,24,F0469
0.018729,37,F0899
0.018214,22,F0438
0.018117,59,F1194
0.018066,108,Loudness
0.017628,55,F1101
0.017033,65,F1483
0.016531,27,F0526
0.016278,42,F0923
0.016258,86,ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Notes in Cents (Min)
0.015861,11,F0136
0.014964,106,Key
0.014531,6,F0110
0.014341,41,F0917
0.013946,99,ORIGINAL-VAT-Probability of Creaky Voice (Skewness)
0.013909,33,F0778
0.013835,46,F0958
0.013694,60,F1419
0.013632,21,F0437
0.012955,31,F0772
0.011673,63,F1469
0.006794,111,Tempo
0.002175,109,Liveness
0.001213,113,Danceability
-0.000481,112,Time_signature
